Country Code,Short Name,Table Name,Long Name,Currency Unit,Region,National accounts base year,System of National Accounts
AFG,Afghanistan,Afghanistan,Islamic State of Afghanistan,Afghan afghani,South Asia,2016,Country uses the 1993 System of National Accounts methodology
AGO,Angola,Angola,People's Republic of Angola,Angolan kwanza,Sub-Saharan Africa,2002,Country uses the 1993 System of National Accounts methodology
ALB,Albania,Albania,Republic of Albania,Albanian lek,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
ARE,United Arab Emirates,United Arab Emirates,United Arab Emirates,U.A.E. dirham,Middle East & North Africa,2010,Country uses the 1993 System of National Accounts methodology
ARG,Argentina,Argentina,Argentine Republic,Argentine peso,Latin America & Caribbean,2004,Country uses the 2008 System of National Accounts methodology
ARM,Armenia,Armenia,Republic of Armenia,Armenian dram,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
ATG,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,East Caribbean dollar,Latin America & Caribbean,2006,Country uses the 2008 System of National Accounts methodology
AUS,Australia,Australia,Commonwealth of Australia,Australian dollar,East Asia & Pacific,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
AUT,Austria,Austria,Republic of Austria,Euro,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
AZE,Azerbaijan,Azerbaijan,Republic of Azerbaijan,New Azeri manat,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 1993 System of National Accounts methodology
BDI,Burundi,Burundi,Republic of Burundi,Burundi franc,Sub-Saharan Africa,2005,Country uses the 1993 System of National Accounts methodology
BEL,Belgium,Belgium,Kingdom of Belgium,Euro,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
BEN,Benin,Benin,Republic of Benin,West African CFA franc,Sub-Saharan Africa,2015,Country uses the 2008 System of National Accounts methodology
BFA,Burkina Faso,Burkina Faso,Burkina Faso,West African CFA franc,Sub-Saharan Africa,2015,Country uses the 2008 System of National Accounts methodology
BGD,Bangladesh,Bangladesh,People's Republic of Bangladesh,Bangladeshi taka,South Asia,2016,Country uses the 1993 System of National Accounts methodology
BGR,Bulgaria,Bulgaria,Republic of Bulgaria,Bulgarian lev,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 2008 System of National Accounts methodology
BHR,Bahrain,Bahrain,Kingdom of Bahrain,Bahraini dinar,Middle East & North Africa,2010,Country uses the 1993 System of National Accounts methodology
BHS,The Bahamas,"Bahamas, The",Commonwealth of The Bahamas,Bahamian dollar,Latin America & Caribbean,2012,Country uses the 2008 System of National Accounts methodology
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina convertible mark,Europe & Central Asia,Original chained constant price data are rescaled.,Country uses the 1993 System of National Accounts methodology
